,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 09/11/18 13:53 PM (PDT),Gorj ,2017 Nissan Altima  2.5 SL 4dr Sedan (2.5L 4cyl CVT),One Year Update," Purchased this Altima about a year ago.  In the past I have owned more up-class vehicles, but I thought I would give this one a try because I live to far from dealers who sell up-class vehicles. The local Nissan dealer offered a lifetime warranty on the drive train and that was my primary reason for the purchase. The Altima was loaded with everything offered for the model but lacked things like memory seats, rain sensing wipers, and lane departure warning. I have discovered the navigation is not up to date and no update is available. I would say this is a little above an average vehicle. Acceleration is acceptable, but noisy as four cylinders tend to be, but fuel economy is in the high 30's, and even going into the low 40's on long trips. The transmission is smooth - one hardly knows it is there. Road noise is about average for a vehicle in this price range. Handling is also about average - not great, but not bad either. Front seating is comfortable with plenty of adjustments for the driver, but not so many for the passenger. Rear seating is about average. There is a huge trunk, but the seat back releases are flawed because they have no way of moving away from the latch when pulling the release. I have put about 13k miles on this Altima with no mechanical issues. That is better than some up-class vehicles I have owned! I believe Nissan builds a quality vehicle that falls short of being really a really great vehicle. Finally, the deal I received from the Nissan dealer was not good and I should have shopped around some more. I suggest you do that before purchasing any vehicle.",4
1, on 07/07/18 01:52 AM (PDT),Ms. Jackson ,2017 Nissan Altima  2.5 SV w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),12000 miles transmission failed, I purchased this car brand new in June 2017. June 2018 with approximately 12000 on it I had to get a new transmission. ABSOLUTELY REDICULOUS. I AM NOT HAPPY AT ALL. Nissan need to do something out of good faith since my car is not  consider a lemon.,3
2, on 07/01/18 07:55 AM (PDT),Bonddb9 ,2017 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),"CVT transmission replace 43,0000"," If buying  this car because there cheap make you sure you have factory  warranty or buy extended warranty to cover cvt transmission. Transmission  is  not the best . Mine went at 43,000 miles after I got the pc upgrade",4
3, on 05/09/18 18:57 PM (PDT),Ron ,2017 Nissan Altima  2.5 SL 4dr Sedan (2.5L 4cyl CVT),Could Be Better," Nissan offers a decent vehicle in this price range. The dealer I purchased this Altima was not up front with me about the pricing and soured my my experience from the get go. The only reason I purchased this particular dealer was that they offered a lifetime power train warranty, which I hear may be needed for the CVT. I hope not.  After comparing the offerings of the other vehicles in this class, I decided on the Altima. Considering this class of vehicle I believed the Altima offered the most of what I was looking for. That said, after owning the Altima for seven months I realize that it falls slightly short of what it could have been. It drives and handles well, although the engine has more noise upon acceleration than I would like. The seating is comfortable but this model failed to include seat memory. Guess they just forgot to offer it. Although it has blind spot warning, it does not have lane departure - guess they forgot that too!  Another feature they left out was key recognition when opening doors. You have to push a little button to open doors, or use the remote. I do like the keyless ignition and the remote start though. As far as safety, the adaptive cruise is fantastic. I also like the home link (garage door remote) in the rear view mirror, but Nissan left out back lighting for the buttons which you can not see in the dark! Speaking of the rear view mirror, I miss the compass in the mirror, another thing they left out!  I am averaging about 35 MPG which is about average for this Altima. I was hoping to get better. The trunk has ample room and I like the seat back latches easy access but again Nissan fell a little short, for when pulling the seat back release, the seat backs do not move away from the latch. You have to push on them with something from the rear or have someone pull the seat back forward while you pull the latch.  After some study I found the entertainment and navigation systems worked very well. I usually use a flash drive in the USB socket for my music, but the radio receiver works very well, as does the CD player.  The Bluetooth functions as both a phone extension and a music streamer for your Bluetooth devices. Since so many devices use a USB for charging it would have been nice to have another USB port.  Overall the 2017 Altima SL is a good ride disappointing that Nissan did not quite get it right in several areas.",4
4, on 05/02/18 14:46 PM (PDT),Jarhead ,2017 Nissan Altima  2.5 S w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),"At 50,000 miles the car is falling apart"," At first everything was ok, but after a year things started falling apart. Do your research on Altimas or even infinity. Lots of class action lawsuits, trying to get Nissan to fix their cars. Terrible products.",1
5, on 05/02/18 14:46 PM (PDT),Jarhead ,2017 Nissan Altima  2.5 S w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),"At 50,000 miles the car is falling apart"," At first everything was ok, but after a year things started falling apart. Do your research on Altimas or even infinity. Lots of class action lawsuits, trying to get Nissan to fix their cars. Terrible products.",1
6, on 04/09/18 07:23 AM (PDT),Chelle ,2017 Nissan Altima  2.5 SV 4dr Sedan (2.5L 4cyl CVT),I bought my dream car," I bought my dream car from Nissan of St. Augustine!  I am completely satisfied with my 2017 Altima!! It has all of the features I wanted (plus) and it is so much fun to drive!! On top of that, I had the best buying experience I've ever had. Special thank yous go to Clayton  my warm, knowledgable, and thorough sales professional, Mike in finance who is helpful and hilarious, and the general manager who was so kind and hospitable.  Thank you for EVERYTHING!!! I feel so blessed!!! God is good!!!!!",2
7, on 03/14/18 20:22 PM (PDT),Grandma H ,2017 Nissan Altima  3.5 SL 4dr Sedan (3.5L 6cyl CVT),Grandma loves her new mid-size sports car," I knew nothing about Nissan or Altima.  I think I saw something on the internet. The dealership called me.  They talked me into coming down to the dealership.  My husband and I went down and we ended up buying the car on the spot.  I LOVE THIS CAR!  We both feel like we are almost in a sports car.  It is fun to drive, I feel very safe in it because of all of the safety features.  We both have loved this car  right from the first time we got into it.  We got all of the bells and whistle and we are still learning how to use it.  This is a great car for us. (NOTE: we have had nothing but SUV's for years, we moved our of an area that gets a lot of snow to the desert so I don't need an SUV, besides my husband still has one.)  Boy am I loving having a fun, good looking, sharp car.)",5
8, on 03/07/18 14:32 PM (PST),Vendben ,2017 Nissan Altima  2.5 SL w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),A Great Vehicle For A Great Price," This is very comparable to the Dodge Intrepid I had in the 90's. It offers a smooth ride, great gas mileage and very comfortable seats.  I haven't done too much highway driving yet so I don't know what the mileage will work out to be yet. Overall, I am very happy with the vehicle.",5
9, on 02/25/18 12:49 PM (PST),Jeremiah Horton  ,2017 Nissan Altima  2.5 SV 4dr Sedan (2.5L 4cyl CVT),Great car for millennials.," This car is amusing on the outside. It gives off a mean, sleek, sporty look to it and it serves well in performance. I currently have the mid trim model (SV) and it has about everything you would possibly want Except the touch screen, YET, it does have the backup camera installed. This car is packed with safety features including forward collision emergency braking, blind spot assist, and it packs a mean punch in Sports Mode( DS on gear shift) but sacrifices from an average of 35mpg to maybe 24mpg. There is lots of back seat room, large trunk space and lots of front room into the Altima sedan. As for interior, it’s pretty boring, a bit outdated, but it doesn’t take away from the experience. So far my car is amazing, with awesome safety features and overall great car!",5
