Brand,City,Pivot Field Values
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-rosemont?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-chicago-21?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-chicago-14?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-chicago-9?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-presidential-towers-chicago-4?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-chicago-3?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-chicago-22?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-lincoln-square-chicago-3?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-oak-park?osq=Great+Clips
Great Clips,Chicago,https://www.yelp.com/biz/great-clips-chicago?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-coppell?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-dallas-3?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-rowlett?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-irving-2?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-garland?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-dallas-6?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-richardson?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-addison-3?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-richardson-2?osq=Great+Clips
Great Clips,Dallas,https://www.yelp.com/biz/great-clips-dallas-9?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-park-lakes-humble-2?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-pearland?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-houston-5?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-houston-8?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-houston-17?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-houston-18?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-houston-7?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-houston-6?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-houston-22?osq=Great+Clips
Great Clips,Houston,https://www.yelp.com/biz/great-clips-missouri-city?osq=Great+Clips
Great Clips,Los Angeles,https://www.yelp.com/biz/great-clips-los-angeles-3?osq=Great+Clips
Great Clips,Los Angeles,https://www.yelp.com/biz/great-clips-torrance-2?osq=Great+Clips
Great Clips,Los Angeles,https://www.yelp.com/biz/great-clips-los-angeles?osq=Great+Clips
Great Clips,Los Angeles,https://www.yelp.com/biz/great-clips-downey?osq=Great+Clips
