,img_count,img_link,img_tags
0,51,./Greece_Affinio_HTML_files/DjhC4niW0AA1TO7.jpg,"['dish', 'vegetable', 'meal']"
1,46,./Greece_Affinio_HTML_files/DlEy6fdU0AA81EH.jpg,"['advertising', 'brand', 'diagram']"
2,31,./Greece_Affinio_HTML_files/Dj1fvuFWwAEManG.jpg,"['advertising', 'black', 'poster']"
3,24,./Greece_Affinio_HTML_files/DjXyKd8U0AAZNER.jpg,"['dish', 'food', 'baking']"
4,24,./Greece_Affinio_HTML_files/DjwsMLyX4AEbaG8.jpg,"['person', 'presentation', 'text']"
5,14,./Greece_Affinio_HTML_files/DkBQkpQUcAMiJd_.jpg,"['product', 'diagram', 'document']"
6,13,./Greece_Affinio_HTML_files/Dj4iWI2VsAA__10.jpg,"['comics', 'illustration', 'drawing']"
7,12,./Greece_Affinio_HTML_files/Dj8FAj1WsAABk8h.jpg,"['cat-like mammal', 'mammal', 'dog-like mammal']"
8,11,./Greece_Affinio_HTML_files/DjgkFJ3W0AAWnA-.jpg,"['wind wave', 'coast', 'shore']"
9,10,./Greece_Affinio_HTML_files/DjlJLYnX4AAXU77.jpg,"['person', 'font', 'brand']"
10,10,./Greece_Affinio_HTML_files/DjNcXEWV4AAVXJ0.jpg,"['poster', 'alcoholic beverage', 'beer']"
11,10,./Greece_Affinio_HTML_files/DlDbR_KVAAAp_DW.jpg,"['font', 'presentation', 'text']"
12,9,./Greece_Affinio_HTML_files/DkDuSphW0AAerFy.jpg,"['font', 'handwriting', 'presentation']"
13,8,./Greece_Affinio_HTML_files/DjsYmjUXcAA9E40.jpg,"['vegetable', 'food', 'fruit']"
14,8,./Greece_Affinio_HTML_files/Dk_SO2qVAAAAAmy.jpg,"['line', 'text', 'drawing']"
15,8,./Greece_Affinio_HTML_files/Di5b1qQXsAAzU8v.jpg,"['horizon', 'morning', 'shore']"
16,7,./Greece_Affinio_HTML_files/Di3mSnKXsAI0ML7.jpg,"['energy', 'lecture', 'person']"
17,6,./Greece_Affinio_HTML_files/DjSn5PlU8AA0VFR.jpg,"['green', 'alcoholic beverage', 'yellow']"
18,6,./Greece_Affinio_HTML_files/DBz3QGTXYAAlds-.jpg,"['poster', 'shape', 'text']"
19,6,./Greece_Affinio_HTML_files/DjnpAl5U0AAs5Vd.jpg,"['mural', 'wall', 'graffiti']"
20,5,./Greece_Affinio_HTML_files/DkFq1efWsAA0Hxa.jpg,"['glasses', 'facial hair', 'hairstyle']"
21,5,./Greece_Affinio_HTML_files/Dkig9CSX0AEcrFt.jpg,"['beach', 'sea', 'boat']"
22,5,./Greece_Affinio_HTML_files/QiXwKDM-3ej5jq3O.jpg,"['advertising', 'screenshot', 'stage']"
23,5,./Greece_Affinio_HTML_files/DiyIzKTW0AAAvXn.jpg,"['macro photography', 'plant', 'wildflower']"
24,5,./Greece_Affinio_HTML_files/Dkf7g3AU4AAPXTi.jpg,"['plant', 'branch', 'flower']"
25,5,./Greece_Affinio_HTML_files/Dkv6sHqX4AE9txb.jpg,"['organ', 'face', 'hairstyle']"
26,4,./Greece_Affinio_HTML_files/DkvvsRkWsAEKX2g.jpg,"['people', 'poster', 'art']"
