,img_count,img_link,img_tags
0,365,./UK_Affinio_HTML_files/Dkt3ZSrXcAEAp23.jpg,"['illustration', 'cartoon', 'text']"
1,256,./UK_Affinio_HTML_files/Dkv1EqeXoAADjlY.jpg,"['breakfast', 'sense', 'food']"
2,99,./UK_Affinio_HTML_files/DjStoCmWwAE18su.jpg,"['produce', 'food', 'dish']"
3,79,./UK_Affinio_HTML_files/Djv3lHZXsAI1txS.jpg,"['font', 'writing', 'text']"
4,74,./UK_Affinio_HTML_files/DkfvciqXcAEw0EX.jpg,"['beer', 'alcoholic beverage', 'drink']"
5,68,./UK_Affinio_HTML_files/DjnP0axX4AAia59.jpg,"['dish', 'flowering plant', 'cuisine']"
6,62,./UK_Affinio_HTML_files/_CcK7tJPkPMNWZwS.jpg,"['mammal', 'dog-like mammal', 'dog']"
7,56,./UK_Affinio_HTML_files/DkBCCkcU8AAQ3Hx.jpg,"['dish', 'food', 'macro photography']"
8,54,./UK_Affinio_HTML_files/DkYyvxxVAAIbgUN.jpg,"['land plant', 'meat', 'cuisine']"
9,40,./UK_Affinio_HTML_files/Di7Lv0OX0AEGpI9.jpg,"['font', 'presentation', 'text']"
10,34,./UK_Affinio_HTML_files/Djqzxu6XcAESwWE.jpg,"['produce', 'icing', 'dessert']"
11,30,./UK_Affinio_HTML_files/DkGcxzXWsAEu-zz.jpg,"['small to medium-sized cats', 'cat-like mammal', 'nose']"
12,29,./UK_Affinio_HTML_files/Dj56hT7XoAA76Rl.jpg,"['font', 'sign', 'text']"
13,28,./UK_Affinio_HTML_files/DkML-CeWsAAHDX-.jpg,"['font', 'presentation', 'text']"
14,27,./UK_Affinio_HTML_files/DkAVYR8UwAEAp0M.jpg,"['stage', 'performing arts', 'singing']"
15,26,./UK_Affinio_HTML_files/d8ZfaGIhdd1cRQjF.jpg,"['water', 'vacation', 'shore']"
16,25,./UK_Affinio_HTML_files/DjCZGWnXoAEpDc8.jpg,"['writing', 'commemorative plaque', 'presentation']"
17,25,./UK_Affinio_HTML_files/M47lZU3tqV7MYC45.jpg,"['font', 'handwriting', 'writing']"
18,24,./UK_Affinio_HTML_files/DjWwWh3W4AEstZa.jpg,"['street sign', 'poster', 'text']"
19,23,./UK_Affinio_HTML_files/DjAg4ezWsAAWfI6.jpg,"['toy', 'food', 'art']"
20,23,./UK_Affinio_HTML_files/DkgNX9_W0AAEXXQ.jpg,"['land plant', 'nature', 'flower']"
21,21,./UK_Affinio_HTML_files/DkEJPs4WwAAA7QP.jpg,"['fauna', 'mammal', 'animal']"
22,21,./UK_Affinio_HTML_files/Dj8JSu6W4AEjrzk.jpg,"['dusk', 'sunset', 'afterglow']"
23,21,./UK_Affinio_HTML_files/DiusqazV4AAh3_2.jpg,"['image', 'text', 'brand']"
24,19,./UK_Affinio_HTML_files/Dj8cV7eUcAACvT9.jpg,"['line', 'drawing', 'black-and-white']"
25,17,./UK_Affinio_HTML_files/Dj6ITW9XsAIt1qX.jpg,"['flowering plant', 'flower arranging', 'flower']"
26,17,./UK_Affinio_HTML_files/DjbilPnU8AAD1vY.jpg,"['automotive exterior', 'automobile make', 'land vehicle']"
27,17,./UK_Affinio_HTML_files/DjW5E84X0AM-Gw2.jpg,"['dish', 'alcoholic beverage', 'meal']"
28,16,./UK_Affinio_HTML_files/DioG-TZXkAEa8Hu.jpg,"['beach', 'body of water', 'coast']"
29,16,./UK_Affinio_HTML_files/DjMyXF5W0AATiFj.jpg,"['drink', 'food', 'restaurant']"
30,16,./UK_Affinio_HTML_files/DkBA-SnW0AMQlBF.jpg,"['person', 'youth', 'food']"
31,14,./UK_Affinio_HTML_files/Di3R9TnW0AA7R3M.jpg,"['clothing', 'adult', 'facial hair']"
32,14,./UK_Affinio_HTML_files/Dja-P3kXcAAjpuM.jpg,"['produce', 'fashion accessory', 'material']"
33,14,./UK_Affinio_HTML_files/Djvg9u1WwAEUEyo.jpg,"['art', 'restaurant', 'dessert']"
34,14,./UK_Affinio_HTML_files/M7vfs4UPSgcV0mpX.jpg,"['athlete', 'football player', 'tournament']"
35,14,./UK_Affinio_HTML_files/Ffv45Ej-yoKwJlsQ.jpg,"['poster', 'text', 'hand']"
36,14,./UK_Affinio_HTML_files/DkVPixsXcAAbP5-.jpg,"['screenshot', 'multimedia', 'presentation']"
37,13,./UK_Affinio_HTML_files/DlBqZ_fW0AAwFYz.jpg,"['wine', 'green', 'food']"
38,13,./UK_Affinio_HTML_files/Dk6UVv2UYAAEtsW.jpg,"['people', 'team', 'audience']"
39,13,./UK_Affinio_HTML_files/Dk_IWctXsAUF-NV.jpg,"['brown hair', 'hair', 'blond']"
40,13,./UK_Affinio_HTML_files/DjSiET4VAAAkXb2.jpg,"['close-up', 'botany', 'macro photography']"
41,12,./UK_Affinio_HTML_files/DjbqbF2VsAAvyXT.jpg,"['signage', 'number', 'art']"
42,12,./UK_Affinio_HTML_files/Dk-YEj8XcAIOcFY.jpg,"['screenshot', 'person', 'text']"
43,12,./UK_Affinio_HTML_files/Di4e8s_X4AYFhn-.jpg,"['interior design', 'brand', 'illustration']"
44,11,./UK_Affinio_HTML_files/DjM46AuUUAEnjuo.jpg,"['nose', 'person', 'glasses']"
45,11,./UK_Affinio_HTML_files/DkEAEZ0XcAECxaa.jpg,"['poster', 'drawing', 'sketch']"
46,11,./UK_Affinio_HTML_files/DlCq8ggXoAAIXty.jpg,"['font', 'text', 'drawing']"
47,11,./UK_Affinio_HTML_files/DizNtKCX4AE7M2-.jpg,"['interior design', 'home', 'person']"
