,img_count,img_link,img_tags
0,26,./USA_Affinio_HTML_files/DjCscJYXoAAB_Td.jpg,"['dish', 'meal', 'meat']"
1,19,./USA_Affinio_HTML_files/DkMrXNtUUAEofOy.jpg,"['shape', 'diagram', 'document']"
2,12,./USA_Affinio_HTML_files/DjcIihEXsAAyaBZ.jpg,"['lunch', 'food', 'meal']"
3,8,./USA_Affinio_HTML_files/DjC3O17XoAA6gQ0.jpg,"['brand', 'cartoon', 'text']"
4,8,./USA_Affinio_HTML_files/P5TQv8Ab5bgIieIk.jpg,"['baking', 'dessert', 'breakfast']"
5,7,./USA_Affinio_HTML_files/Djnq6HtUYAAyQI5.jpg,"['mammal', 'dog-like mammal', 'puppy']"
6,7,./USA_Affinio_HTML_files/DivGPVgXUAEkQfD.jpg,"['produce', 'plant', 'meal']"
7,6,./USA_Affinio_HTML_files/Fl_WX3ICxc0SRjWb.jpg,"['text', 'brand', 'art']"
8,5,./USA_Affinio_HTML_files/Diq4F5kU0AEo9Gi.jpg,"['poster', 'art', 'illustration']"
9,5,./USA_Affinio_HTML_files/v9sKVoKg9LCQ4G3j.jpg,"['musician', 'stage', 'performing arts']"
10,5,./USA_Affinio_HTML_files/Di852ItXgAArOK_.jpg,"['green', 'yellow', 'drink']"
11,3,./USA_Affinio_HTML_files/DkAdzp8U0AAZBG8.jpg,"['clothing', 'person', 'dress']"
12,3,./USA_Affinio_HTML_files/DjdXqgnXsAAEC27.jpg,"['people', 'family', 'social group']"
13,3,./USA_Affinio_HTML_files/DlDfTzQVsAAmNUe.jpg,"['muscle', 'limb', 'male']"
14,2,./USA_Affinio_HTML_files/DhMx_NhU8AAkY_-.jpg,"['document', 'brand', 'text']"
15,2,./USA_Affinio_HTML_files/DkBba4SXsAMVchA.jpg,"['neighbourhood', 'human settlement', 'city']"
16,2,./USA_Affinio_HTML_files/Dj2Im6iUwAMS7sY.jpg,"['clothing', 'human body', 'limb']"
17,2,./USA_Affinio_HTML_files/DjdHhCyVsAARQc6.jpg,"['person', 'vehicle', 'blue']"
