County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"US (SEER+NPCR)(1,10)",0,***,4.6,4.6,4.7,8907,stable,-0.9,-2.2,0.5,
"Troup County, Georgia(7)",13285,***,11.7,7.4,17.5,5,*,*,*,*,
"McKinley County, New Mexico(7)",35031,***,9.5,5.5,15.3,3,*,*,*,*,
"Bronx County, New York(6,10)",36005,***,9.2,8.2,10.2,72,stable,-2.1,-6.8,2.8,
"Kings County, New York(6,10)",36047,***,8.9,8.3,9.7,134,stable,-4,-11,3.5,
"Queens County, New York(6,10)",36081,***,8.8,8.1,9.5,126,stable,4,-8.8,18.5,
"Victoria County, Texas(6,10)",48469,***,8.4,5.1,13,4,stable,-7.6,-34,29.4,
"Imperial County, California(7,8)",6025,***,8.3,5.8,11.5,7,stable,0.4,-3.9,4.9,
"Union County, New Jersey(7,8)",34039,***,8.1,6.7,9.6,27,stable,-0.9,-2.1,0.5,
"Hudson County, New Jersey(7,8)",34017,***,7.9,6.6,9.4,27,stable,-0.4,-1.3,0.6,
"Bristol County, Rhode Island(6,10)",44001,***,7.7,4.4,13.2,3,*,*,*,*,
"Muscogee County, Georgia(7,8)",13215,***,7.6,5.5,10.3,8,stable,0.9,-3.6,5.7,
"Bullitt County, Kentucky(7)",21029,***,7.6,4.3,12.4,3,*,*,*,*,
"Suffolk County, Massachusetts(6,10)",25025,***,7.6,6.4,9,28,stable,10.6,-11.8,38.7,
"El Paso County, Texas(6,10)",48141,***,7.5,6.4,8.8,32,stable,3.4,-11.2,20.4,
"Creek County, Oklahoma(6,10)",40037,***,7.5,4.3,12.3,3,*,*,*,*,
"Honolulu County, Hawaii(7,8)",15003,***,7.3,6.4,8.4,49,stable,-2.8,-8.6,3.4,
"San Francisco County, California(7,8)",6075,***,7.3,6.3,8.5,38,stable,-1.1,-2.5,0.3,
"Baltimore City, Maryland(6,10)",24510,***,7.3,6.1,8.7,26,stable,-4.9,-33.5,35.9,
"Wilson County, North Carolina(6,10)",37195,***,7.3,4.5,11.4,4,*,*,*,*,
"Tuscaloosa County, Alabama(6,10)",1125,***,7.2,5,10.1,7,stable,-11.6,-42.1,34.8,
"Los Angeles County, California(7,8)",6037,***,7.1,6.8,7.5,391,stable,-0.5,-1.3,0.3,
"District of Columbia(6,10)",11001,***,7.1,5.9,8.5,25,falling,-10,-17,-2.4,
"Bradford County, Pennsylvania(6,10)",42015,***,7.1,4,11.9,3,*,*,*,*,
"Passaic County, New Jersey(7,8)",34031,***,7,5.7,8.6,21,stable,0.3,-0.9,1.4,
"Essex County, New Jersey(7,8)",34013,***,7,6,8.2,32,falling,-1.6,-2.3,-1,
"Webb County, Texas(6,10)",48479,***,7,5,9.6,8,stable,-10.7,-37.2,26.9,
"Cascade County, Montana(6,10)",30013,***,6.9,4,11.3,4,stable,3.7,-43.9,91.5,
"Talladega County, Alabama(6,10)",1121,***,6.9,3.9,11.3,3,*,*,*,*,
"Clayton County, Georgia(7,8)",13063,***,6.8,4.8,9.4,8,stable,1,-1.5,3.6,
"Robeson County, North Carolina(6,10)",37155,***,6.8,4.4,10,5,stable,13.3,-22.6,65.8,
"Camden County, New Jersey(7,8)",34007,***,6.7,5.5,8.2,22,stable,-0.3,-1.4,0.9,
"Hinds County, Mississippi(6,10)",28049,***,6.7,4.9,8.9,10,stable,-7.4,-50.4,72.8,
"Cook County, Illinois(6,10)",17031,***,6.6,6.2,7.1,206,stable,1.6,-5.3,9,
