County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Bladder/Female
"US (SEER+NPCR)(1,10)",0,***,8.8,8.7,8.8,17479,falling,-1.9,-2.7,-1.1,
"Vilas County, Wisconsin(6,10)",55125,***,26.6,15.3,44.2,4,stable,-2.2,-50.7,94.2,
"Carter County, Kentucky(7,8)",21043,***,20.5,12,33,4,stable,14,-34.3,97.9,
"Greene County, New York(6,10)",36039,***,19.4,13.3,27.9,7,stable,-26.1,-47.8,4.6,
"Sharp County, Arkansas(6,10)",5135,***,18.2,10.3,32.3,3,*,*,*,*,
"Madison County, New York(6,10)",36053,***,18,13.1,24.5,9,stable,6,-17.6,36.5,
"Lawrence County, Tennessee(6,10)",47099,***,17.7,11.4,26.4,5,stable,9.2,-38.1,92.6,
"Wayne County, Indiana(6,10)",18177,***,17.4,12.6,23.7,9,stable,-10.7,-30.5,14.7,
"Orleans County, Vermont(6,10)",50019,***,17.4,10,29,4,stable,29.6,-24.3,121.8,
"Dorchester County, Maryland(6,10)",24019,***,17.3,10.9,26.8,5,stable,-23.3,-54.4,28.7,
"Wexford County, Michigan(6,10)",26165,***,17.2 #  ,10.4,27.3,4,stable,-13.9,-46.3,38.1,
"Chautauqua County, New York(6,10)",36013,***,17.2,13.6,21.5,17,falling,-16.9,-29,-2.8,
"Calloway County, Kentucky(7,8)",21035,***,17,10.2,26.9,4,stable,3.1,-2.4,8.9,
"Hancock County, Maine(6,10)",23009,***,16.7,11.9,23.4,8,stable,-17.9,-47.5,28.3,
"Fulton County, New York(6,10)",36035,***,16.7,11.5,23.8,7,stable,-2,-25.4,28.8,
"Seneca County, New York(6,10)",36099,***,16.6,10.3,26.1,4,stable,-4.3,-32.9,36.4,
"Cape May County, New Jersey(7,8)",34009,***,16.6,12.7,21.5,14,stable,0.7,-0.9,2.4,
"Montgomery County, New York(6,10)",36057,***,16.6,11.2,24,7,stable,-22.6,-51.6,23.8,
"Franklin County, Kentucky(7,8)",21073,***,16.5,11.2,23.9,6,stable,4,-1,9.2,
"Rensselaer County, New York(6,10)",36083,***,16.3,13.1,20.2,18,stable,-6.3,-16.6,5.3,
"Houghton County, Michigan(6,10)",26061,***,16.2 #  ,9.8,26,4,stable,-4.8,-40.9,53.4,
"Hardin County, Kentucky(7,8)",21093,***,16.2,12,21.4,10,stable,3.4,-1.6,8.6,
"Indiana County, Pennsylvania(6,10)",42063,***,16,11.5,21.7,9,stable,18.2,-12.6,60.1,
"Bristol County, Rhode Island(6,10)",44001,***,15.4,10,23.2,6,stable,-23,-41.3,0.9,
"Clarion County, Pennsylvania(6,10)",42031,***,15.4,9.7,23.8,5,stable,-1.4,-24.1,28.1,
"Manistee County, Michigan(6,10)",26101,***,15.3 #  ,8.7,26.9,3,*,*,*,*,
"Randolph County, West Virginia(6,10)",54083,***,15.3,9,25.4,4,stable,15.7,-24.4,77.3,
"Belknap County, New Hampshire(6,10)",33001,***,15.3,10.5,22,7,stable,-1.2,-41.9,68,
"Frederick County, Virginia(6,10)",51069,***,15.3,10.8,21.1,8,rising,15.2,5.9,25.2,
"Saratoga County, New York(6,10)",36091,***,15.3,12.5,18.5,23,stable,-0.9,-24.3,29.7,
"Laramie County, Wyoming(6,10)",56021,***,15.2,10.9,20.7,9,stable,-8.5,-45,52.1,
"Kent County, Rhode Island(6,10)",44003,***,15.2,12.2,18.8,19,stable,4.4,-25.1,45.6,
"Franklin County, Missouri(6,10)",29071,***,15.1,11.2,20.2,10,stable,8.1,-9,28.4,
"Coos County, New Hampshire(6,10)",33007,***,15.1,9.3,24.4,4,*,*,*,*,
"Gladwin County, Michigan(6,10)",26051,***,14.9 #  ,8.5,25.9,3,*,*,*,*,
"Stephens County, Oklahoma(6,10)",40137,***,14.9,9.6,22.4,5,falling,-25.5,-39.3,-8.6,
"Walworth County, Wisconsin(6,10)",55127,***,14.9,10.9,19.9,10,stable,-11.6,-41.8,34.1,
"Marion County, West Virginia(6,10)",54049,***,14.8,9.9,21.5,6,stable,-4.3,-29,28.9,
"Lee County, Iowa(7)",19111,***,14.7,8.7,23.9,4,*,*,*,*,
"Erie County, New York(6,10)",36029,***,14.7,13.4,16.1,101,stable,0.3,-11.4,13.5,
"Genesee County, New York(6,10)",36037,***,14.7,10,21.2,7,stable,8.1,-45.5,114.1,
"Warren County, Virginia(6,10)",51187,***,14.6,8.4,23.9,3,*,*,*,*,
"Davie County, North Carolina(6,10)",37059,***,14.6,9,22.8,4,stable,-13.5,-53.4,60.8,
"Jackson County, Michigan(6,10)",26075,***,14.6 #  ,11.4,18.4,16,stable,5.7,-2.9,15.2,
"Niagara County, New York(6,10)",36063,***,14.6,12,17.6,24,stable,1.6,-15.5,22.1,
"Fauquier County, Virginia(6,10)",51061,***,14.5,9.8,21,6,stable,6.2,-41.7,93.4,
"Baldwin County, Georgia(7)",13009,***,14.5,8.7,23.1,4,*,*,*,*,
"Jefferson County, New York(6,10)",36045,***,14.4,10.5,19.3,9,stable,-4.6,-46.3,69.3,
"Rockingham County, New Hampshire(6,10)",33015,***,14.4,12.1,17.1,28,falling,-11.1,-20,-1.3,
"Wayne County, New York(6,10)",36117,***,14.3,10.3,19.4,9,stable,2.3,-37.4,67.1,
"Clark County, Kentucky(7)",21049,***,14.3,8.4,23.2,4,*,*,*,*,
"Sussex County, New Jersey(7,8)",34037,***,14.3,10.9,18.5,13,stable,0.2,-1.9,2.4,
"Harrison County, Indiana(6,10)",18061,***,14.2,8.5,22.8,4,stable,-3.9,-23.6,20.7,
"Washington County, Vermont(6,10)",50023,***,14.2,9.5,20.9,6,stable,-7.3,-35.4,32.9,
"La Crosse County, Wisconsin(6,10)",55063,***,14.2,10.5,18.9,10,stable,11.4,-13.5,43.5,
"Jefferson County, West Virginia(6,10)",54037,***,14.2,8.7,21.9,4,stable,-11.2,-37.9,27,
"Jefferson County, Pennsylvania(6,10)",42065,***,14.1,8.7,21.9,5,stable,-8.1,-47.6,61.3,
"Cabell County, West Virginia(6,10)",54011,***,14.1,10.2,19,9,stable,-17.1,-51.1,40.4,
"Windham County, Connecticut(7,8)",9015,***,14,10.5,18.5,11,stable,1.9,-0.2,3.9,
"Dutchess County, New York(6,10)",36027,***,14,11.7,16.7,27,stable,-0.6,-15.1,16.4,
"St. Francois County, Missouri(6,10)",29187,***,14,9.4,20.2,6,stable,-10.7,-46.6,49.4,
"Chemung County, New York(6,10)",36015,***,14,10.1,19,9,stable,18.8,-12.3,60.8,
"Dyer County, Tennessee(6,10)",47045,***,13.9,8,22.7,3,*,*,*,*,
"Litchfield County, Connecticut(7,8)",9005,***,13.9,11.2,17.2,19,stable,1,-0.5,2.6,
"York County, Maine(6,10)",23031,***,13.9,11.3,16.9,21,stable,-3.3,-22.3,20.4,
"St. Martin Parish, Louisiana(7,8)",22099,***,13.8,8.4,21.4,4,stable,2.9,-2.4,8.5,
"Surry County, North Carolina(6,10)",37171,***,13.8,9.8,19.2,8,stable,-14.1,-35.7,14.8,
"Green County, Wisconsin(6,10)",55045,***,13.8,8,22.6,4,stable,-2.4,-46.4,77.8,
"Henderson County, Kentucky(7,8)",21101,***,13.8,8.5,21.4,4,stable,-3.7,-8.9,1.8,
"Lincoln County, Nebraska(6,10)",31111,***,13.8,7.8,22.9,3,*,*,*,*,
"Somerset County, Maine(6,10)",23025,***,13.7,9,20.6,5,stable,21.4,-1.5,49.5,
"Grant County, Indiana(6,10)",18053,***,13.7,9.4,19.6,7,stable,2.1,-24,37.2,
"St. Lawrence County, New York(6,10)",36089,***,13.7,10.1,18.3,10,stable,2.1,-28.7,46.4,
"Putnam County, Florida(6,10)",12107,***,13.7,9.6,19.3,8,stable,-21.1,-48.8,21.6,
"Marinette County, Wisconsin(6,10)",55075,***,13.7,8.1,22.2,4,stable,-6.8,-30.5,25.1,
"Westmoreland County, Pennsylvania(6,10)",42129,***,13.6,11.8,15.7,42,stable,-8.4,-19.7,4.5,
"Ashtabula County, Ohio(6,10)",39007,***,13.6,9.7,18.6,9,stable,-2.2,-39.4,58,
"Silver Bow County, Montana(6,10)",30093,***,13.6,7.8,22.5,3,*,*,*,*,
"Aroostook County, Maine(6,10)",23003,***,13.5,9.7,18.9,8,stable,-1.1,-15,15.1,
"Berkeley County, West Virginia(6,10)",54003,***,13.5,9.6,18.6,8,stable,-1.2,-30,39.5,
"Petersburg City, Virginia(6,10)",51730,***,13.5,7.3,23.3,3,*,*,*,*,
"Washington County, New York(6,10)",36115,***,13.5,8.9,20,6,stable,-27.2,-54.8,17.2,
"Bedford County, Tennessee(6,10)",47003,***,13.5,7.9,21.6,4,rising,10,0.5,20.4,
"Hancock County, Indiana(6,10)",18059,***,13.5,9,19.5,6,stable,31.9,-5.8,84.8,
"Walla Walla County, Washington(6,10)",53071,***,13.5,8.6,20.2,5,stable,15.8,-24.8,78.1,
"Grant County, Washington(6,10)",53025,***,13.5,9.1,19.2,6,stable,-4,-12.3,5.1,
"Matanuska-Susitna Borough, Alaska(6,10)",2170,***,13.4,8.3,20.4,5,stable,-5.3,-46.1,66.5,
"Lehigh County, Pennsylvania(6,10)",42077,***,13.4,11.4,15.7,34,stable,3.9,-2.6,10.9,
"Morrow County, Ohio(6,10)",39117,***,13.4,7.6,22.4,3,*,*,*,*,
"Alexander County, North Carolina(6,10)",37003,***,13.4,7.9,21.9,4,*,*,*,*,
"Oswego County, New York(6,10)",36075,***,13.4,9.9,17.8,10,stable,-0.3,-24.5,31.7,
"McKean County, Pennsylvania(6,10)",42083,***,13.4,8.2,21.2,4,stable,-13.2,-44,34.6,
"Coos County, Oregon(6,10)",41011,***,13.3,9.2,19.1,7,stable,-5.5,-33.9,34.9,
"Cleveland County, North Carolina(6,10)",37045,***,13.3,9.7,18,9,stable,10.7,-16.4,46.6,
"Cascade County, Montana(6,10)",30013,***,13.3,9.3,18.6,7,stable,4.4,-28.5,52.4,
"Schuylkill County, Pennsylvania(6,10)",42107,***,13.3,10.4,16.9,16,stable,-12.3,-44.6,38.7,
"Fremont County, Colorado(6,10)",8043,***,13.3,8,21.4,4,stable,8.4,-29.2,66,
"Ontario County, New York(6,10)",36069,***,13.3,9.8,17.7,10,stable,9.8,-20.8,52.4,
"Habersham County, Georgia(7,8)",13137,***,13.3,8,20.9,4,stable,3.4,-1.8,8.9,
"Putnam County, New York(6,10)",36079,***,13.2,9.4,18.2,8,stable,-0.8,-16,17.1,
