County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Bladder/Male
"US (SEER+NPCR)(1,10)",0,***,35.4,35.3,35.6,55161,falling,-1.9,-3.1,-0.7,
"Carter County, Kentucky(7,8)",21043,***,72.6,53.7,96,10,stable,3.6,-2.2,9.7,
"Ida County, Iowa(7)",19093,***,70.2,41.4,114.5,4,*,*,*,*,
"Modoc County, California(7,8)",6049,***,68,42.3,105.8,5,stable,3.3,-4.5,11.6,
"Tucker County, West Virginia(6,10)",54093,***,67.8,38.2,114.3,3,*,*,*,*,
"Essex County, Vermont(6,10)",50009,***,67.3,39.3,113.4,4,stable,1.9,-35.1,59.8,
"Clay County, South Dakota(6,10)",46027,***,66,38.3,105.6,4,stable,0.7,-34.5,54.8,
"Cleburne County, Alabama(6,10)",1029,***,65.4,43,95.7,6,stable,-18.6,-48.8,29.5,
"Chickasaw County, Mississippi(6,10)",28017,***,64.6,42,94.8,5,stable,-13.8,-37.1,18.2,
"Taylor County, Kentucky(7,8)",21217,***,63.3,45.4,86.1,9,rising,5.1,0.9,9.6,
"Logan County, Ohio(6,10)",39091,***,62.4,49.1,78.3,16,stable,2,-14.1,21.1,
"Butler County, Nebraska(6,10)",31023,***,62.2,37.3,100.2,4,stable,-15.9,-40.5,18.8,
"Montmorency County, Michigan(6,10)",26119,***,62 #  ,42,93.9,6,stable,7.5,-53.5,148.4,
"Schuyler County, New York(6,10)",36097,***,61.6,42.4,87.1,7,stable,2,-5.3,9.8,
"Fulton County, New York(6,10)",36035,***,60.9,49.2,74.8,19,stable,-3.5,-24.7,23.8,
"Union County, Florida(6,10)",12125,***,60.7,38.5,91.2,6,falling,-33.5,-48.8,-13.8,
"Lewis County, Tennessee(6,10)",47101,***,60.5,35.9,95.9,4,stable,-1.1,-51,99.6,
"Lewis County, West Virginia(6,10)",54041,***,60.2,40.9,86.3,6,stable,-5.3,-27,22.8,
"Montgomery County, New York(6,10)",36057,***,60.2,48,74.6,18,stable,-13.6,-31.3,8.5,
"Poquoson City, Virginia(6,10)",51735,***,60.1,37,93.5,4,stable,-10.4,-42.1,38.8,
"Dickinson County, Iowa(7)",19059,***,59.8,41.9,84,8,*,*,*,*,
"Trigg County, Kentucky(7,8)",21221,***,59.7,39.8,87.4,6,rising,6.8,1.7,12.2,
"Assumption Parish, Louisiana(7,8)",22007,***,59.1,41.2,82.5,7,rising,16.1,5.5,27.7,
"Cape May County, New Jersey(7,8)",34009,***,58.8,51.1,67.6,43,rising,1.3,0.3,2.2,
"Poinsett County, Arkansas(6,10)",5111,***,58.8,41.1,81.6,8,stable,-10.7,-30,13.9,
"Henry County, Kentucky(7,8)",21103,***,58.3,35.5,90.2,5,stable,0.7,-5.2,6.9,
"Alpena County, Michigan(6,10)",26007,***,58.3 #  ,44,76.3,12,stable,-5,-36.1,41.1,
"Owen County, Kentucky(7)",21187,***,58.3,33.1,95.7,3,*,*,*,*,
"Morgan County, Ohio(6,10)",39115,***,58.2,38.1,86.1,6,stable,-0.3,-17.7,20.9,
"Niagara County, New York(6,10)",36063,***,58,52.1,64.5,73,stable,-5.5,-14.6,4.6,
"Hancock County, Maine(6,10)",23009,***,57.6,47.1,70.1,22,stable,6.2,-28,56.6,
"Clay County, Illinois(6,10)",17025,***,57.6,37.7,85.4,5,stable,-18.1,-34.5,2.4,
"Franklin County, Maine(6,10)",23007,***,57.5,43.5,75.2,12,stable,-1.8,-35.4,49.3,
"St. Lawrence County, New York(6,10)",36089,***,57.4,48.9,66.9,34,rising,5.3,1.6,9.1,
"Lincoln County, Nebraska(6,10)",31111,***,57.3,43.4,74.5,12,stable,-6.5,-23.6,14.4,
