County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Lung/Male
"US (SEER+NPCR)(1,10)",0,***,70.8,70.7,71,114512,falling,-3,-3.5,-2.4,
"Union County, Florida(6,10)",12125,***,318,263.8,380.1,34,stable,-5.8,-28.1,23.6,
"North Slope Borough, Alaska(6,10)",2185,***,210.4,111.4,349,4,stable,-1.6,-36,51.1,
"McCreary County, Kentucky(7,8)",21147,***,187.9,150.3,232.2,19,stable,-2.8,-5.7,0.2,
"Breathitt County, Kentucky(7,8)",21025,***,186.3,144,237.5,15,stable,2.1,-2.7,7.2,
"Menifee County, Kentucky(7,8)",21165,***,182.9,125,259.9,7,stable,1.1,-4.5,7,
"Lee County, Kentucky(7,8)",21129,***,178.5,119.8,255.6,7,stable,0.7,-2.9,4.5,
"Pulaski County, Illinois(6,10)",17153,***,177.6,122.4,252.2,7,stable,2,-36.8,64.8,
"Owsley County, Kentucky(7,8)",21189,***,174.1,111.9,261.8,5,stable,1.1,-3.7,6.1,
"Powell County, Kentucky(7,8)",21197,***,174,132.7,224.7,13,stable,-0.1,-4.8,4.7,
"Nicholas County, Kentucky(7,8)",21181,***,173.1,122.3,239.6,8,stable,2.8,-2.1,7.9,
"Lewis County, Kentucky(7,8)",21135,***,169.5,131.6,215.6,14,stable,0.8,-1,2.6,
"Floyd County, Kentucky(7,8)",21071,***,168.4,143.9,196,37,stable,-0.8,-3.2,1.7,
"Casey County, Kentucky(7,8)",21045,***,165.9,130.1,208.9,16,stable,0.3,-3.4,4.1,
"Clay County, Kentucky(7,8)",21051,***,164.7,131.2,204.1,18,stable,-2.4,-5.5,0.7,
"Pickett County, Tennessee(6,10)",47137,***,162.9,110.8,236.8,7,stable,-10.2,-47.9,54.8,
"Ohio County, Kentucky(7,8)",21183,***,161.8,132.7,195.5,23,stable,0.4,-1.5,2.3,
"Knott County, Kentucky(7,8)",21119,***,161.5,124.5,206.4,15,stable,3.5,-3.4,10.9,
"Madison County, Missouri(6,10)",29123,***,158.9,122.4,203.8,13,stable,2.1,-20.6,31.1,
"Whitley County, Kentucky(7,8)",21235,***,157.1,131.9,185.8,29,stable,0.3,-1.5,2.1,
"Perry County, Kentucky(7,8)",21193,***,156.5,129.5,187.7,25,stable,-2.6,-5.3,0.1,
"Crawford County, Indiana(6,10)",18025,***,155.1,114.4,206.7,11,stable,-3.1,-18.4,15.2,
"Dunklin County, Missouri(6,10)",29069,***,154.4,129.9,182.5,29,stable,0.8,-15.2,20,
"Yazoo County, Mississippi(6,10)",28163,***,152.4,121.9,187.9,18,stable,-1.7,-33.6,45.5,
"Letcher County, Kentucky(7,8)",21133,***,151.5,123.2,184.6,22,stable,-1.2,-3.7,1.3,
"Estill County, Kentucky(7,8)",21065,***,150.4,115.7,192.9,14,stable,-1.2,-4.6,2.5,
"Metcalfe County, Kentucky(7,8)",21169,***,150.3,110.6,200.8,10,stable,-1,-4.1,2.1,
"Barren County, Kentucky(7,8)",21009,***,149.6,128.5,173.4,37,stable,-0.1,-1.8,1.6,
"Cumberland County, Kentucky(7,8)",21057,***,149.4,103.7,211.1,7,rising,3.2,0.1,6.4,
"Cass County, Illinois(6,10)",17017,***,149.2,112.6,194.2,11,rising,14.4,4.7,24.9,
