County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Melanoma/Male
"US (SEER+NPCR)(1,10)",0,***,27.3,27.2,27.5,43860,rising,1.7,0.4,3,
"Beaver County, Utah(7)",49001,***,116,67.8,184.7,4,*,*,*,*,
"Summit County, Utah(7,8)",49043,***,99.1,77.8,124.4,19,rising,7,4.3,9.8,
"Pickens County, Georgia(7,8)",13227,***,82.9,65.1,104.5,17,rising,10.1,3.9,16.7,
"Blaine County, Idaho(6,10)",16013,***,75,53.2,102.8,9,stable,-14.2,-39,20.7,
"Lumpkin County, Georgia(7,8)",13187,***,73.2,53.9,97.2,11,rising,5.5,0.3,11.1,
"Grand Isle County, Vermont(6,10)",50013,***,72.4,35.1,132.1,3,*,*,*,*,
"Cherokee County, Georgia(7,8)",13057,***,69.8,62.2,78,71,rising,4.8,1.2,8.4,
"Forsyth County, Georgia(7,8)",13117,***,69.7,61.6,78.5,61,rising,3.1,1.7,4.6,
"Dukes County, Massachusetts(6,10)",25007,***,69.2,47.6,97.8,7,stable,-2.8,-27.4,30.2,
"Teton County, Wyoming(6,10)",56039,***,67.7,46.2,95.6,7,stable,26.4,-47,201.2,
"Marin County, California(7,8)",6041,***,64.7,59.2,70.7,107,stable,1.1,-1.2,3.4,
"White County, Georgia(7)",13311,***,64.4,47.8,85.2,11,*,*,*,*,
"Montour County, Pennsylvania(6,10)",42093,***,64.3,44,91,7,stable,20.4,-11.1,63.1,
"Duchesne County, Utah(7)",49013,***,62.5,40.3,92,5,*,*,*,*,
"Cape May County, New Jersey(7,8)",34009,***,62.4,53.9,71.9,44,rising,4,2.8,5.2,
"Towns County, Georgia(7,8)",13281,***,59.4,38,92,6,stable,1,-4.9,7.3,
"Worcester County, Maryland(6,10)",24047,***,58.8,47.7,72,22,stable,6.9,-1.6,16.1,
"Moore County, North Carolina(6,10)",37125,***,58,49.9,67.1,39,stable,4.2,-10.4,21.3,
"Fulton County, Pennsylvania(6,10)",42057,***,57.6,37.9,84.8,6,stable,9.6,-33.3,80.3,
"Fayette County, Georgia(7,8)",13113,***,57.5,48.8,67.3,36,rising,4.3,0.5,8.2,
"Los Alamos County, New Mexico(7,8)",35028,***,57.3,38.8,82.3,6,rising,3.2,1,5.5,
"Jefferson County, Washington(7,8)",53031,***,57.2,43.4,75.1,16,stable,-10.3,-36.6,27,
"Webster County, West Virginia(6,10)",54101,***,56.8,31.2,96.2,3,*,*,*,*,
"James City County, Virginia(6,10)",51095,***,56.5,47.4,67.1,29,stable,12.4,-3.1,30.4,
"Tooele County, Utah(7,8)",49045,***,56.5,41.7,74.3,11,rising,3.8,0.8,6.8,
"Hall County, Georgia(7,8)",13139,***,56.3,49.2,64,49,rising,3.2,0.7,5.6,
"Taylor County, Kentucky(7,8)",21217,***,55.3,39,76.3,8,rising,7.4,2.1,13,
"Iron County, Utah(7,8)",49021,***,55.3,41.1,72.6,11,rising,2.8,0.5,5.2,
"Perry County, Mississippi(6,10)",28111,***,55.2,31,90.7,3,*,*,*,*,
"Queen Annes County, Maryland(6,10)",24035,***,54.7,43,68.7,16,rising,14.2,5.6,23.6,
"San Luis Obispo County, California(7,8)",6079,***,54.7,49.5,60.2,89,stable,1.2,-1.2,3.6,
"Marion County, Kentucky(7)",21155,***,54.5,35.4,80.3,5,*,*,*,*,
"Lamoille County, Vermont(6,10)",50015,***,54.5,38.7,75,8,rising,10.2,0.5,20.9,
"Jefferson County, Montana(6,10)",30043,***,54.4,31.6,88.9,4,stable,10.8,-38,97.9,
"Davis County, Utah(7,8)",49011,***,54,48.2,60.3,67,rising,4.8,3.4,6.2,
"Oconee County, Georgia(7,8)",13219,***,54,38.4,73.7,9,stable,5,-0.3,10.7,
"Poquoson City, Virginia(6,10)",51735,***,53,30.2,87.1,3,*,*,*,*,
"Shasta County, California(7,8)",6089,***,52.8,46.8,59.3,60,rising,4.3,1.9,6.7,
"Union County, Florida(6,10)",12125,***,52.6,29.6,85.4,5,stable,-28.6,-60.2,27.8,
"Cache County, Utah(7,8)",49005,***,52.6,42.7,63.9,21,rising,5,2.5,7.6,
"St. Johns County, Florida(6,10)",12109,***,52.5,46.9,58.6,67,stable,6.3,-4.7,18.5,
"Salt Lake County, Utah(7,8)",49035,***,52.4,49.3,55.8,221,rising,4.4,3.8,5,
"Windsor County, Vermont(6,10)",50027,***,52.4,42,64.8,19,stable,2.4,-34.5,60.1,
"Jasper County, Georgia(7)",13159,***,52.2,30.1,84.3,4,*,*,*,*,
"Henry County, Kentucky(7)",21103,***,52,31.2,81.6,4,*,*,*,*,
"Sonoma County, California(7,8)",6097,***,51.9,48.1,56,145,rising,5.3,3.5,7.1,
"Greenville County, South Carolina(6,10)",45045,***,51.8,47.7,56.3,120,stable,5.4,-3.7,15.4,
"Sussex County, Delaware(6,10)",10005,***,51.7,46.4,57.6,78,stable,5.7,-2.2,14.3,
"Jackson County, Georgia(7,8)",13157,***,51.6,39.2,66.6,14,stable,3.6,-1.3,8.8,
