County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Lung/Female
"US (SEER+NPCR)(1,10)",0,***,52.2,52.1,52.3,103033,falling,-1.3,-1.8,-0.8,
"Owsley County, Kentucky(7,8)",21189,***,185.5,123.5,270.7,6,rising,7,1.1,13.2,
"Bracken County, Kentucky(7)",21023,***,137.8,97.7,190.4,8,*,*,*,*,
"Leslie County, Kentucky(7,8)",21131,***,137.6,102.7,181.8,11,stable,3.5,-1.7,9.1,
"Gallatin County, Kentucky(7,8)",21077,***,133.9,90.4,191.7,7,stable,1.1,-4.1,6.6,
"Martin County, Kentucky(7,8)",21159,***,130.8,96,175.1,10,stable,2.9,-1.3,7.3,
"Carroll County, Kentucky(7,8)",21041,***,129.7,93.8,175.5,9,stable,0.8,-2,3.6,
"McCreary County, Kentucky(7,8)",21147,***,122.4,93.8,157.6,13,stable,1.4,-1.8,4.6,
"Hart County, Kentucky(7,8)",21099,***,116.3,91.2,146.8,15,rising,4.1,1.8,6.5,
"Woodruff County, Arkansas(6,10)",5147,***,112.7,73.2,167.7,6,stable,-2,-41.1,63.2,
"Vinton County, Ohio(6,10)",39163,***,112,82.1,150.2,10,stable,-2.9,-29.8,34.2,
"Harlan County, Kentucky(7,8)",21095,***,111.7,91.9,135,23,stable,0.8,-2.4,4.2,
"Southeast Fairbanks Census Area, Alaska(6,10)",2240,***,111.4,61.9,183.4,3,*,*,*,*,
"Hancock County, Tennessee(6,10)",47067,***,111.1,72.2,166.2,6,stable,-11.7,-42.7,36,
"Powell County, Kentucky(7,8)",21197,***,110.4,80.1,149.4,9,stable,1.5,-3.4,6.7,
"Poinsett County, Arkansas(6,10)",5111,***,109.3,88.5,134.1,20,stable,10.8,-9.3,35.3,
"Lewis County, Tennessee(6,10)",47101,***,108.6,79.9,145.7,10,stable,0,-30.5,44,
"Hardin County, Illinois(6,10)",17069,***,108.5,61.7,183.5,3,*,*,*,*,
"Whitley County, Kentucky(7,8)",21235,***,108,89.3,129.6,24,stable,2.1,0,4.2,
"Trousdale County, Tennessee(6,10)",47169,***,107.1,68.7,160,5,stable,-2.4,-37.5,52.2,
"Livingston County, Kentucky(7,8)",21139,***,106.2,74.9,148.5,8,stable,4,-1.3,9.6,
"Bath County, Kentucky(7,8)",21011,***,105.1,76,142.8,9,stable,3.9,0,7.9,
"Floyd County, Kentucky(7,8)",21071,***,104.8,88.1,124,29,stable,-1.2,-2.8,0.5,
"Rockcastle County, Kentucky(7,8)",21203,***,104.2,78.9,135.7,12,rising,3.1,0.6,5.6,
"Pope County, Illinois(6,10)",17151,***,103.8,60.2,176.7,4,stable,1.1,-20.5,28.6,
"Bell County, Kentucky(7,8)",21013,***,103.7,84.3,126.7,21,stable,2.3,-1.4,6.2,
"Perry County, Tennessee(6,10)",47135,***,103.7,70.9,149.4,7,stable,7.1,-18.2,40.2,
"Greer County, Oklahoma(6,10)",40055,***,103.5,61.9,166.1,4,*,*,*,*,
"Carter County, Missouri(6,10)",29035,***,103,63.2,160.3,4,stable,3.9,-38.9,76.5,
"Lawrence County, Kentucky(7,8)",21127,***,101.9,75.5,135.3,10,stable,0.3,-4.4,5.1,
"Ripley County, Missouri(6,10)",29181,***,101.7,76.5,133.7,11,stable,1.7,-31.7,51.6,
"St. Francois County, Missouri(6,10)",29187,***,101.5,88,116.8,41,stable,7.3,-3,18.8,
"Boone County, West Virginia(6,10)",54005,***,101,79.8,126.7,16,stable,-0.2,-26.7,35.8,
"Arenac County, Michigan(6,10)",26011,***,100.6 #  ,77.9,129.9,14,stable,10.2,-13.9,41,
"Mingo County, West Virginia(6,10)",54059,***,100.5,79.8,125.3,17,stable,13.9,-3.1,34,
"Estill County, Kentucky(7,8)",21065,***,100.4,74,134.1,10,rising,4.6,0.8,8.6,
"Franklin County, Illinois(6,10)",17055,***,100.2,84.7,118,31,stable,-1.4,-23.5,27.1,
