County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Melanoma/Female
"US (SEER+NPCR)(1,10)",0,***,16.8,16.8,16.9,30606,rising,2.4,1.2,3.6,
"Towns County, Georgia(7)",13281,***,64.4,37,105.2,5,*,*,*,*,
"Nantucket County, Massachusetts(6,10)",25019,***,55.7,31.2,92,3,*,*,*,*,
"Summit County, Utah(7)",49043,***,51,37.2,68.5,10,*,*,*,*,
"Iowa County, Iowa(7)",19095,***,48.9,27.8,78.7,3,*,*,*,*,
"Banks County, Georgia(7)",13011,***,48.7,31,73.1,5,*,*,*,*,
"Pike County, Illinois(6,10)",17149,***,46.7,27.6,73.8,4,stable,28.5,-26.4,124.1,
"Dawson County, Georgia(7)",13085,***,46.1,29.6,68.4,5,*,*,*,*,
"Lumpkin County, Georgia(7,8)",13187,***,46,31.5,65,7,stable,2.5,-3.8,9.3,
"Ford County, Illinois(6,10)",17053,***,44.3,24.6,73.3,3,*,*,*,*,
"Pickens County, Georgia(7,8)",13227,***,43.6,30.8,60.2,9,stable,3.5,-1.9,9.2,
"Forsyth County, Georgia(7,8)",13117,***,43.5,37.9,49.9,44,rising,2.3,0.2,4.5,
"Hughes County, South Dakota(6,10)",46065,***,43,26.1,66.8,4,stable,-5.8,-28.8,24.7,
"Dickinson County, Iowa(7)",19059,***,43,24.3,70.1,4,*,*,*,*,
"Klamath County, Oregon(6,10)",41035,***,41.2,32.3,51.9,17,rising,33.5,14.3,56,
"Dubuque County, Iowa(7,8)",19061,***,40.6,32.8,49.7,20,rising,10.7,5.5,16.1,
"Piatt County, Illinois(6,10)",17147,***,40.3,22.7,65.9,3,*,*,*,*,
"Wasatch County, Utah(7)",49051,***,40,24.5,61.3,4,*,*,*,*,
"Lee County, Georgia(7)",13177,***,39.2,25.7,57.3,6,*,*,*,*,
"Sheridan County, Wyoming(6,10)",56033,***,39.1,27,55.2,8,stable,-9,-40.1,38.2,
"Plymouth County, Iowa(7)",19149,***,39.1,24.9,58.3,5,*,*,*,*,
"Iron County, Utah(7)",49021,***,38.9,27.2,53.7,8,*,*,*,*,
"Marin County, California(7,8)",6041,***,38.8,34.5,43.4,70,rising,4.7,3.4,5.9,
"Rockbridge County, Virginia(6,10)",51163,***,37.8,23.2,58.4,5,*,*,*,*,
"Cherokee County, Georgia(7,8)",13057,***,37.7,32.9,43.1,46,rising,3.8,1.4,6.3,
"Marion County, Missouri(6,10)",29127,***,37.7,24.5,55.1,6,stable,4.1,-18.7,33.4,
"Tooele County, Utah(7)",49045,***,37.5,27.4,50,9,*,*,*,*,
"White County, Georgia(7)",13311,***,37.3,25.1,53.6,7,*,*,*,*,
"Greenbrier County, West Virginia(6,10)",54025,***,36.5,25,51.5,8,stable,-18.9,-36.9,4.3,
"Winneshiek County, Iowa(7)",19191,***,36.4,21.4,57.9,4,*,*,*,*,
"Hunterdon County, New Jersey(7,8)",34019,***,36.4,30,43.6,27,rising,5.6,2.9,8.4,
"Deschutes County, Oregon(6,10)",41017,***,36.2,30.9,42.3,36,falling,-13.2,-22,-3.3,
"Jessamine County, Kentucky(7,8)",21113,***,36.1,26.4,48.2,9,stable,3.5,-1.9,9.1,
"Edgar County, Illinois(6,10)",17045,***,35.8,21.1,57.1,4,stable,-6.6,-40.4,46.4,
"San Luis Obispo County, California(7,8)",6079,***,35.6,31.5,40.2,63,stable,1.9,-1.6,5.6,
"Door County, Wisconsin(6,10)",55029,***,35.5,23.2,52.6,7,stable,-24.9,-74.8,123.6,
"Hall County, Georgia(7,8)",13139,***,35.4,30.3,41.2,35,rising,3.8,1.5,6.1,
"Lee County, Illinois(6,10)",17103,***,35.4,23.9,50.6,7,stable,-3.8,-26.2,25.6,
"Hancock County, Illinois(6,10)",17067,***,35.2,20.4,56.9,4,stable,-3.1,-48.4,81.8,
"Clackamas County, Oregon(6,10)",41005,***,35,31.5,38.8,80,stable,4.1,-11.1,21.9,
"Taylor County, Kentucky(7)",21217,***,34.7,22.8,50.9,6,*,*,*,*,
"Merrimack County, New Hampshire(6,10)",33013,***,34.5,29.1,40.7,32,stable,6.6,-10.8,27.4,
"Chaffee County, Colorado(6,10)",8015,***,34.5,20.7,55.5,5,stable,-24.7,-64.9,61.5,
"Yates County, New York(6,10)",36123,***,34.3,20.3,53.8,4,stable,-10.2,-49,58.2,
