,0,1,2,3,4,5,6,7,8,9
0,stale,receive,bite,chewing,enclose,humid,include,packet,soggy,rough
1,rice,cake,taste,assortment,one,pop,come,topping,eat,lundberg
2,low,calorie,butter,peanut,carb,love,snack,cake,cheese,bread
3,rice,cake,easily,best,apart,weight,watcher,smart,point,work
4,rice,cake,snack,salad,taste,alternative,bread,free,stale,eating
5,calorie,lundberg,one,quaker,love,break,well,also,cake,rice
6,healthy,love,remain,togo,anything,bag,convenient,divide,half,long
7,thin,great,treat,perfect,dog,love,however,stomach,avoid,sneak
8,come,cake,rice,food,free,eating,top,like,put,great
9,remain,togo,anything,bag,convenient,divide,half,long,vet,spread
10,worth,break,cake,pizza,rice,couple,make,cheese,microwave,like
11,much,tasty,low,calorie,cake,good,eating,love,dry,expect
12,rice,cake,case,shipping,come,brand,like,get,taste,really
13,love,even,cracker,great,cake,salt,thing,one,package,good
14,expensive,cake,rice,taste,bag,salad,good,healthier,store,like
15,rice,plain,want,option,since,priority,never,expect,great,know
16,rice,cake,brand,taste,one,lundberg,love,whole,great,quaker
17,cake,rice,top,thin,like,love,enjoy,much,slice,possibility
18,box,cake,rice,around,package,amazon,get,come,exp,date
19,couple,pizza,store,prefer,alternative,tomato,tasting,healthier,leaf,cheap
